sampledate,coreid,wtemp,light50,dark_light,light_logger,light0,do_init,delta_do_rate,do_final,do_gm2hr
2013-08-06,3,7.65,190,0,NA,335,11.48,-0.01304347826086986,11.44,-0.00234782608695657
2013-08-06,4,7.9,190,1,NA,335,11.09,0.5999999999999999,12.93,0.14399999999999996
2013-08-06,5,7.75,190,0,NA,335,11.5,-0.03278688524590152,11.4,-0.00672131147540981
2013-08-06,6,7.95,190,1,NA,335,11.1,1.1245901639344262,14.53,0.20242622950819672
2013-08-06,7,7.85,190,0,NA,335,11.08,0.07582417582417597,11.31,0.01440659340659343
2013-08-06,8,7.9,190,1,NA,335,10.7,0.6497237569060776,12.66,0.1104530386740332
2013-08-06,9,7.800000000000001,190,1,NA,335,11.03,1.3666666666666671,15.13,0.23916666666666675
2013-08-06,10,7.7,190,1,NA,335,11.42,2.8233333333333337,19.89,0.4517333333333334
2013-08-11,1,10,68.5,0,NA,151.5,10.68,-0.35351351351351346,9.59,-0.05656216216216215
2013-08-11,2,9.95,68.5,1,NA,151.5,10.66,1.039572192513369,13.9,0.16633155080213904
2013-08-11,3,9.8,68.5,0,NA,151.5,10.52,-0.1957219251336897,9.91,-0.03620855614973259
2013-08-11,4,9.8,68.5,1,NA,151.5,10.48,0.42127659574468096,11.8,0.07582978723404257
2013-08-11,5,9.85,68.5,0,NA,151.5,10.51,-0.16914893617021257,9.98,-0.03382978723404251
2013-08-11,6,9.9,68.5,1,NA,151.5,10.56,0.5521276595744676,12.29,0.08834042553191482
2013-08-11,7,9.6,68.5,0,NA,151.5,10.93,-0.09893617021276611,10.62,-0.01632446808510641
2013-08-11,8,9.7,68.5,1,NA,151.5,10.67,0.580952380952381,12.5,0.09876190476190476
2013-08-11,9,9.5,68.5,1,NA,151.5,10.77,0.86984126984127,13.51,0.14352380952380955
2013-08-11,10,9.55,68.5,1,NA,151.5,10.52,0.346031746031746,11.61,0.0795873015873016
2014-06-02,1,12.75,202.5,0,NA,275,11.73,-0.6861386138613863,9.42,-0.15095049504950497
2014-06-02,2,12.65,202.5,1,NA,275,11.76,1.1732673267326736,15.71,0.269851485148515
2014-06-02,3,12.55,202.5,0,NA,275,11.76,-0.6594059405940595,9.54,-0.12528712871287132
2014-06-02,4,12.55,202.5,1,NA,275,11.94,1.5223880597014925,17.04,0.31970149253731345
2014-06-02,5,12.5,202.5,0,NA,275,12.02,-0.4716417910447761,10.44,-0.10376119402985072
2014-06-02,6,12.5,202.5,1,NA,275,11.79,1.1457286432160805,15.59,0.2463316582914573
2014-06-02,7,12.4,202.5,0,NA,275,11.74,-0.42512562814070354,10.33,-0.08927638190954773
2014-06-02,8,12.3,202.5,1,NA,275,12.1,1.387878787878788,16.68,0.29145454545454547
2014-06-02,9,12.35,202.5,1,NA,275,11.99,1.3060606060606064,16.3,0.30039393939393944
2014-06-02,10,12.35,202.5,1,NA,275,12.44,1.166834170854271,16.31,0.2800402010050251
2014-06-09,1,16.450000000000003,305,0,NA,465,12.28,-0.5054187192118224,10.57,-0.09602955665024623
2014-06-09,2,16.25,305,1,NA,465,12.15,1.1287128712871284,15.95,0.2257425742574257
2014-06-09,3,16.200000000000003,305,0,NA,465,12.05,-0.4447761194029851,10.56,-0.08450746268656717
2014-06-09,4,16.05,305,1,NA,465,12.43,1.2539999999999998,16.61,0.22571999999999995
2014-06-09,5,16.1,305,0,NA,465,12.24,1.0109999999999997,15.61,0.19714499999999993
2014-06-09,6,16,305,1,NA,465,12.41,1.181909547738693,16.33,0.21274371859296473
2014-06-09,7,15.9,305,0,NA,465,12.34,-0.42727272727272736,10.93,-0.07690909090909093
2014-06-09,8,15.9,305,1,NA,465,12.03,0.6484848484848487,14.17,0.12645454545454549
2014-06-09,9,15.8,305,1,NA,465,12.19,1.0324873096446705,15.58,0.21682233502538076
2014-06-09,10,15.8,305,1,NA,465,12.21,1.029441624365482,15.59,0.21103553299492384
2014-06-19,1,15.6,119.5,0,83820.70465,171,10.5,-0.24519230769230757,9.65,-0.04658653846153844
2014-06-19,2,15.55,119.5,1,83820.70465,171,10.5,0.6200956937799044,12.66,0.1116172248803828
2014-06-19,3,15.5,119.5,0,83820.70465,171,10.18,-0.26000000000000006,9.27,-0.04940000000000001
2014-06-19,4,15.5,119.5,1,83820.70465,171,10.54,0.5914285714285715,12.61,0.10645714285714288
2014-06-19,5,15.45,119.5,0,83820.70465,171,10.4,-0.2803738317757009,9.4,-0.06168224299065419
2014-06-19,6,15.5,119.5,1,83820.70465,171,10.34,0.5408450704225353,12.26,0.10816901408450706
2014-06-19,7,15.5,119.5,0,83820.70465,171,10.44,-0.28878504672897176,9.41,-0.05198130841121491
2014-06-19,8,15.5,119.5,1,83820.70465,171,10.29,0.6591549295774652,12.63,0.1252394366197184
2014-06-19,9,15.55,119.5,1,83820.70465,171,10.3,0.8292452830188679,13.23,0.15341037735849056
2014-06-19,10,15.5,119.5,1,83820.70465,171,10.51,0.659433962264151,12.84,0.1252924528301887
2014-06-27,1,16.75,248,0,52850.48718,455,11.07,-0.4634920634920638,9.61,-0.08574603174603179
2014-06-27,2,16.65,248,1,52850.48718,455,10.61,0.6032085561497329,12.49,0.12365775401069524
2014-06-27,3,16.6,248,0,52850.48718,455,11.13,-0.2791443850267383,10.26,-0.05443315508021396
2014-06-27,4,16.4,248,1,52850.48718,455,10.94,0.9721925133689844,13.97,0.19443850267379684
2014-06-27,5,16.65,248,0,52850.48718,455,10.9,-0.4331550802139037,9.55,-0.0822994652406417
2014-06-27,6,16.55,248,1,52850.48718,455,11.1,1.0864864864864865,14.45,0.20099999999999996
2014-06-27,7,16.65,248,0,52850.48718,455,10.99,-0.4054054054054054,9.74,-0.06891891891891891
2014-06-27,8,16.5,248,1,52850.48718,455,16.02,-0.32108108108108113,15.03,-0.06100540540540541
2014-06-27,9,16.7,248,1,52850.48718,455,10.96,0.8786885245901639,13.64,0.16695081967213113
2014-06-27,10,16.55,248,1,52850.48718,455,10.92,1.2032786885245903,14.59,0.3429344262295082
2014-07-06,1,9.5,126.685,0,NA,212.7,9.41,-0.19813953488372116,8.7,-0.04557209302325587
2014-07-06,2,9.55,126.685,1,NA,212.7,9.57,0.8679069767441858,12.68,0.21697674418604648
2014-07-06,3,9.6,126.685,0,NA,212.7,9.4,-0.2460829493087559,8.51,-0.05659907834101386
2014-07-06,4,9.55,126.685,1,NA,212.7,9.46,0.6641860465116276,11.84,0.15940465116279062
2014-07-06,5,9.55,126.685,0,NA,212.7,9.47,-0.2222222222222224,8.67,-0.04888888888888892
2014-07-06,6,9.65,126.685,1,NA,212.7,9.13,0.7766355140186915,11.9,0.16697663551401867
2014-07-06,7,9.5,126.685,0,NA,212.7,9.36,-0.16822429906542044,8.76,-0.03700934579439249
2014-07-06,8,9.5,126.685,1,NA,212.7,9.75,0.812093023255814,12.66,0.1664790697674419
2014-07-06,9,9.5,126.685,1,NA,212.7,9.68,0.8267281105990784,12.67,0.1942811059907834
2014-07-06,10,9.5,126.685,1,NA,212.7,9.79,1.618750000000001,12.38,0.3723125000000002
2014-07-17,1,15.15,835.5,0,5636.2725,1150,10.47,-0.24134078212290525,9.75,-0.04706145251396652
2014-07-17,2,15.1,835.5,1,5636.2725,1150,10.41,0.49772727272727246,11.87,0.09954545454545448
2014-07-17,3,14.95,835.5,0,5636.2725,1150,10.52,-0.29828571428571404,9.65,-0.05667428571428567
2014-07-17,4,14.9,835.5,1,5636.2725,1150,10.67,0.859090909090909,13.19,0.15893181818181815
2014-07-17,5,15.25,835.5,0,5636.2725,1150,10.48,-0.06171428571428562,10.3,-0.01172571428571426
2014-07-17,6,15.1,835.5,1,5636.2725,1150,10.21,0.3988439306358377,11.36,0.06580924855491321
2014-07-17,7,14.95,835.5,0,5636.2725,1150,10.64,-0.14566473988439305,10.22,-0.02986127167630057
2014-07-17,8,14.95,835.5,1,5636.2725,1150,10.5,0.8219653179190749,12.87,0.1767225433526011
2014-07-17,9,14.85,835.5,1,5636.2725,1150,10.67,0.3919075144508673,11.8,0.07446242774566478
2014-07-17,10,14.95,835.5,1,5636.2725,1150,10.65,1.2173410404624276,14.16,0.21303468208092485
2014-08-01,1,11.1,146.25,0,3519.814634,401.35,9.85,0.8340659340659344,12.38,0.15847252747252755
2014-08-01,2,11.45,146.25,1,3519.814634,401.35,10.72,0.4813559322033898,12.14,0.07701694915254237
2014-08-01,3,11.15,146.25,0,3519.814634,401.35,9.7,-0.5610810810810809,7.97,-0.10099459459459456
2014-08-01,4,10.95,146.25,1,3519.814634,401.35,9.81,0.4933333333333329,11.29,0.08879999999999992
2014-08-01,5,11.05,146.25,0,3519.814634,401.35,10.64,-0.39,9.47,-0.06824999999999999
2014-08-01,6,10.85,146.25,1,3519.814634,401.35,10.28,0.15248618784530416,10.74,0.03125966850828735
2014-08-01,7,10.55,146.25,0,3519.814634,401.35,10.5,-0.4846153846153848,9.03,-0.0896538461538462
2014-08-01,8,10.7,146.25,1,3519.814634,401.35,10.08,0.9494505494505496,12.96,0.17564835164835169
2014-08-01,9,10.6,146.25,1,3519.814634,401.35,10.77,0.3508196721311477,11.84,0.06314754098360659
2014-08-01,10,10.5,146.25,1,3519.814634,401.35,10.44,0.241304347826087,11.18,0.0518804347826087
2014-08-09,1,11.9,40.9,0,23313.53315,146.15,9.3,-0.6468750000000001,7.23,-0.1164375
